id	code	symbol	name	rootShape	handCommands	activeFingers	fingerShapeCommands
268097	0x41741	񁝁	HAND-FIST INDEX MIDDLE THUMB ANGLED OUT	FIST		INDEX,MIDDLE,THUMB	THUMB:ANGLED_OUT	
268193	0x417a1	񁞡	HAND-FIST INDEX MIDDLE THUMB ANGLED	FIST		INDEX,MIDDLE,THUMB	THUMB:ANGLED	
268289	0x41801	񁠁	HAND-FIST MIDDLE THUMB ANGLED OUT INDEX UP	FIST		MIDDLE,THUMB,INDEX	THUMB:ANGLED_OUT,INDEX:UP	
268385	0x41861	񁡡	HAND-FIST MIDDLE THUMB ANGLED OUT INDEX CROSSED	FIST		MIDDLE,THUMB,INDEX	THUMB:ANGLED_OUT	CROSS(:INDEX)
268481	0x418c1	񁣁	HAND-FIST MIDDLE THUMB ANGLED INDEX UP	FIST		MIDDLE,THUMB,INDEX	THUMB:ANGLED,INDEX:UP	
268577	0x41921	񁤡	HAND-FIST INDEX THUMB HOOKED MIDDLE HINGED	FIST		INDEX,THUMB,MIDDLE	MIDDLE:HINGED	GROUP(HOOKED:INDEX|THUMB)
268673	0x41981	񁦁	HAND-FLAT FOUR FINGERS	FLAT		INDEX,MIDDLE,RING,LITTLE		
268769	0x419e1	񁧡	HAND-FLAT FOUR FINGERS BENT	FLAT		INDEX,MIDDLE,RING,LITTLE	INDEX:BENT,MIDDLE:BENT,RING:BENT,LITTLE:BENT	
268865	0x41a41	񁩁	HAND-FLAT FOUR FINGERS HINGED	FLAT		INDEX,MIDDLE,RING,LITTLE	INDEX:HINGED,MIDDLE:HINGED,RING:HINGED,LITTLE:HINGED	
268961	0x41aa1	񁪡	HAND-FLAT FOUR FINGERS CONJOINED	FLAT		INDEX,MIDDLE,RING,LITTLE		GROUP(CONJOINED:INDEX|MIDDLE|RING|LITTLE)
269057	0x41b01	񁬁	HAND-FLAT FOUR FINGERS CONJOINED SPLIT	FLAT	SPLIT	INDEX,MIDDLE,RING,LITTLE		GROUP(CONJOINED:INDEX|MIDDLE|RING|LITTLE)
269153	0x41b61	񁭡	HAND-CLAW FOUR FINGERS CONJOINED	CLAW		INDEX,MIDDLE,RING,LITTLE		GROUP(CONJOINED:INDEX|MIDDLE|RING|LITTLE)
269249	0x41bc1	񁯁	HAND-FIST FOUR FINGERS CONJOINED BENT	FIST		INDEX,MIDDLE,RING,LITTLE	INDEX:BENT,MIDDLE:BENT,RING:BENT,LITTLE:BENT	GROUP(CONJOINED:INDEX|MIDDLE|RING|LITTLE)
269345	0x41c21	񁰡	HAND-HINGE FOUR FINGERS CONJOINED	HINGE		INDEX,MIDDLE,RING,LITTLE		GROUP(CONJOINED:INDEX|MIDDLE|RING|LITTLE)
269441	0x41c81	񁲁	HAND-FLAT FIVE FINGERS SPREAD	FLAT	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE		
269537	0x41ce1	񁳡	HAND-FLAT HEEL FIVE FINGERS SPREAD	FLAT	HEEL,SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE		
269633	0x41d41	񁵁	HAND-FLAT FIVE FINGERS SPREAD FOUR BENT	FLAT	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE,INDEX,MIDDLE,RING,LITTLE	INDEX:BENT,MIDDLE:BENT,RING:BENT,LITTLE:BENT	
269729	0x41da1	񁶡	HAND-FLAT HEEL FIVE FINGERS SPREAD FOUR BENT	FLAT	HEEL,SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE,INDEX,MIDDLE,RING,LITTLE	INDEX:BENT,MIDDLE:BENT,RING:BENT,LITTLE:BENT	
269825	0x41e01	񁸁	HAND-FLAT FIVE FINGERS SPREAD BENT	FLAT	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE	THUMB:BENT,INDEX:BENT,MIDDLE:BENT,RING:BENT,LITTLE:BENT	
269921	0x41e61	񁹡	HAND-FLAT HEEL FIVE FINGERS SPREAD BENT	FLAT	HEEL,SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE	THUMB:BENT,INDEX:BENT,MIDDLE:BENT,RING:BENT,LITTLE:BENT	
270017	0x41ec1	񁻁	HAND-FLAT FIVE FINGERS SPREAD THUMB FORWARD	FLAT	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE,THUMB	THUMB:FORWARD	
270113	0x41f21	񁼡	HAND-CUP FIVE FINGERS SPREAD	CUP	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE		
270209	0x41f81	񁾁	HAND-CUP FIVE FINGERS SPREAD OPEN	CUP	SPREAD,OPEN	THUMB,INDEX,MIDDLE,RING,LITTLE		
270305	0x41fe1	񁿡	HAND-HINGE FIVE FINGERS SPREAD OPEN	HINGE	SPREAD,OPEN	THUMB,INDEX,MIDDLE,RING,LITTLE		
270401	0x42041	񂁁	HAND-OVAL FIVE FINGERS SPREAD	OVAL	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE		
270497	0x420a1	񂂡	HAND-FLAT FIVE FINGERS SPREAD HINGED	FLAT	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE	THUMB:HINGED,INDEX:HINGED,MIDDLE:HINGED,RING:HINGED,LITTLE:HINGED	
270593	0x42101	񂄁	HAND-FLAT FIVE FINGERS SPREAD HINGED THUMB SIDE	FLAT	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE,THUMB	THUMB:HINGED,INDEX:HINGED,MIDDLE:HINGED,RING:HINGED,LITTLE:HINGED,THUMB:SIDE	
270689	0x42161	񂅡	HAND-FLAT FIVE FINGERS SPREAD HINGED NO THUMB	FLAT	SPREAD	THUMB,INDEX,MIDDLE,RING,LITTLE,THUMB	THUMB:HINGED,INDEX:HINGED,MIDDLE:HINGED,RING:HINGED,LITTLE:HINGED	GROUP(CONJOINED:THUMB|PALM)
270785	0x421c1	񂇁	HAND-FLAT	FLAT				
270881	0x42221	񂈡	HAND-FLAT BETWEEN PALM FACINGS	FLAT	BETWEEN_PALM_FACINGS			
270977	0x42281	񂊁	HAND-FLAT HEEL	FLAT	HEEL			
271073	0x422e1	񂋡	HAND-FLAT THUMB SIDE	FLAT		THUMB	THUMB:SIDE	
